"","Sex","CensusYear","Province.County.or.City","Birthplace","value"
"62","Male","2011","Cork","All countries",254599
"63","Female","2011","Cork","All countries",258204
"64","Both sexes","2011","Cork City","All countries",117221
"65","Male","2011","Cork City","All countries",57870
"66","Female","2011","Cork City","All countries",59351
"67","Both sexes","2011","Cork County","All countries",395582
"68","Male","2011","Cork County","All countries",196729
"69","Female","2011","Cork County","All countries",198853
"70","Both sexes","2011","Kerry","All countries",142175
"71","Male","2011","Kerry","All countries",71093
"72","Female","2011","Kerry","All countries",71082
"73","Both sexes","2011","Limerick","All countries",189943
"74","Male","2011","Limerick","All countries",94926
"75","Female","2011","Limerick","All countries",95017
"76","Both sexes","2011","Limerick City","All countries",56521
"77","Male","2011","Limerick City","All countries",27649
"78","Female","2011","Limerick City","All countries",28872
"79","Both sexes","2011","Limerick County","All countries",133422
"80","Male","2011","Limerick County","All countries",67277
"81","Female","2011","Limerick County","All countries",66145
"82","Both sexes","2011","North Tipperary","All countries",69884
"83","Male","2011","North Tipperary","All countries",35122
"84","Female","2011","North Tipperary","All countries",34762
"85","Both sexes","2011","South Tipperary","All countries",87725
"86","Male","2011","South Tipperary","All countries",43905
"87","Female","2011","South Tipperary","All countries",43820
"88","Both sexes","2011","Waterford","All countries",112664
"89","Male","2011","Waterford","All countries",55947
"90","Female","2011","Waterford","All countries",56717
"91","Both sexes","2011","Waterford City","All countries",46199
"92","Male","2011","Waterford City","All countries",22686
"93","Female","2011","Waterford City","All countries",23513
"94","Both sexes","2011","Waterford County","All countries",66465
"95","Male","2011","Waterford County","All countries",33261
"96","Female","2011","Waterford County","All countries",33204
"97","Both sexes","2011","Connacht","All countries",534216
"98","Male","2011","Connacht","All countries",267205
"99","Female","2011","Connacht","All countries",267011
"100","Both sexes","2011","Galway","All countries",245814
"101","Male","2011","Galway","All countries",122548
"102","Female","2011","Galway","All countries",123266
"103","Both sexes","2011","Galway City","All countries",72996
"104","Male","2011","Galway City","All countries",35416
"105","Female","2011","Galway City","All countries",37580
"106","Both sexes","2011","Galway County","All countries",172818
"107","Male","2011","Galway County","All countries",87132
"108","Female","2011","Galway County","All countries",85686
"109","Both sexes","2011","Leitrim","All countries",31456
"110","Male","2011","Leitrim","All countries",15969
"111","Female","2011","Leitrim","All countries",15487
"112","Both sexes","2011","Mayo","All countries",128748
"113","Male","2011","Mayo","All countries",64490
"114","Female","2011","Mayo","All countries",64258
"115","Both sexes","2011","Roscommon","All countries",63611
"116","Male","2011","Roscommon","All countries",32131
"117","Female","2011","Roscommon","All countries",31480
"118","Both sexes","2011","Sligo","All countries",64587
"119","Male","2011","Sligo","All countries",32067
"120","Female","2011","Sligo","All countries",32520
"121","Both sexes","2011","Ulster (part of)","All countries",290686
"122","Male","2011","Ulster (part of)","All countries",146067
"123","Female","2011","Ulster (part of)","All countries",144619
"124","Both sexes","2011","Cavan","All countries",72532
"125","Male","2011","Cavan","All countries",36719
"126","Female","2011","Cavan","All countries",35813
"127","Both sexes","2011","Donegal","All countries",158231
"128","Male","2011","Donegal","All countries",79147
"129","Female","2011","Donegal","All countries",79084
"130","Both sexes","2011","Monaghan","All countries",59923
"131","Male","2011","Monaghan","All countries",30201
"132","Female","2011","Monaghan","All countries",29722
"133","Both sexes","2011","State","Austria",708
"134","Male","2011","State","Austria",275
"135","Female","2011","State","Austria",433
"136","Both sexes","2011","Leinster","Austria",450
"137","Male","2011","Leinster","Austria",169
"138","Female","2011","Leinster","Austria",281
"139","Both sexes","2011","Carlow","Austria",11
"140","Male","2011","Carlow","Austria",7
"141","Female","2011","Carlow","Austria",4
"142","Both sexes","2011","Dublin","Austria",305
"143","Male","2011","Dublin","Austria",111
"144","Female","2011","Dublin","Austria",194
"145","Both sexes","2011","Dublin City","Austria",156
"146","Male","2011","Dublin City","Austria",54
"147","Female","2011","Dublin City","Austria",102
"148","Both sexes","2011","Dún Laoghaire-Rathdown","Austria",82
"149","Male","2011","Dún Laoghaire-Rathdown","Austria",32
"150","Female","2011","Dún Laoghaire-Rathdown","Austria",50
"151","Both sexes","2011","Fingal","Austria",45
"152","Male","2011","Fingal","Austria",15
"153","Female","2011","Fingal","Austria",30
"154","Both sexes","2011","South Dublin","Austria",22
"155","Male","2011","South Dublin","Austria",10
"156","Female","2011","South Dublin","Austria",12
"157","Both sexes","2011","Kildare","Austria",29
"158","Male","2011","Kildare","Austria",10
"159","Female","2011","Kildare","Austria",19
"160","Both sexes","2011","Kilkenny","Austria",8
"161","Male","2011","Kilkenny","Austria",4
"162","Female","2011","Kilkenny","Austria",4
"163","Both sexes","2011","Laois","Austria",17
"164","Male","2011","Laois","Austria",8
"165","Female","2011","Laois","Austria",9
"166","Both sexes","2011","Longford","Austria",2
"167","Male","2011","Longford","Austria",1
"168","Female","2011","Longford","Austria",1
"169","Both sexes","2011","Louth","Austria",9
"170","Male","2011","Louth","Austria",6
"171","Female","2011","Louth","Austria",3
"172","Both sexes","2011","Meath","Austria",18
"173","Male","2011","Meath","Austria",5
"174","Female","2011","Meath","Austria",13
"175","Both sexes","2011","Offaly","Austria",7
"176","Male","2011","Offaly","Austria",2
"177","Female","2011","Offaly","Austria",5
"178","Both sexes","2011","Westmeath","Austria",7
"179","Male","2011","Westmeath","Austria",2
"180","Female","2011","Westmeath","Austria",5
"181","Both sexes","2011","Wexford","Austria",9
"182","Male","2011","Wexford","Austria",3
"183","Female","2011","Wexford","Austria",6
"184","Both sexes","2011","Wicklow","Austria",28
"185","Male","2011","Wicklow","Austria",10
"186","Female","2011","Wicklow","Austria",18
"187","Both sexes","2011","Munster","Austria",172
"188","Male","2011","Munster","Austria",74
"189","Female","2011","Munster","Austria",98
"190","Both sexes","2011","Clare","Austria",23
"191","Male","2011","Clare","Austria",9
"192","Female","2011","Clare","Austria",14
"193","Both sexes","2011","Cork","Austria",84
"194","Male","2011","Cork","Austria",39
"195","Female","2011","Cork","Austria",45
"196","Both sexes","2011","Cork City","Austria",49
"197","Male","2011","Cork City","Austria",19
"198","Female","2011","Cork City","Austria",30
"199","Both sexes","2011","Cork County","Austria",35
"200","Male","2011","Cork County","Austria",20
"201","Female","2011","Cork County","Austria",15
"202","Both sexes","2011","Kerry","Austria",14
"203","Male","2011","Kerry","Austria",7
"204","Female","2011","Kerry","Austria",7
"205","Both sexes","2011","Limerick","Austria",23
"206","Male","2011","Limerick","Austria",10
"207","Female","2011","Limerick","Austria",13
"208","Both sexes","2011","Limerick City","Austria",6
"209","Male","2011","Limerick City","Austria",3
"210","Female","2011","Limerick City","Austria",3
"211","Both sexes","2011","Limerick County","Austria",17
"212","Male","2011","Limerick County","Austria",7
"213","Female","2011","Limerick County","Austria",10
"214","Both sexes","2011","North Tipperary","Austria",8
"215","Male","2011","North Tipperary","Austria",3
"216","Female","2011","North Tipperary","Austria",5
"217","Both sexes","2011","South Tipperary","Austria",2
"218","Male","2011","South Tipperary","Austria",1
"219","Female","2011","South Tipperary","Austria",1
"220","Both sexes","2011","Waterford","Austria",18
"221","Male","2011","Waterford","Austria",5
"222","Female","2011","Waterford","Austria",13
"223","Both sexes","2011","Waterford City","Austria",6
"224","Male","2011","Waterford City","Austria",2
"225","Female","2011","Waterford City","Austria",4
"226","Both sexes","2011","Waterford County","Austria",12
"227","Male","2011","Waterford County","Austria",3
"228","Female","2011","Waterford County","Austria",9
"229","Both sexes","2011","Connacht","Austria",64
"230","Male","2011","Connacht","Austria",21
"231","Female","2011","Connacht","Austria",43
"232","Both sexes","2011","Galway","Austria",40
"233","Male","2011","Galway","Austria",15
"234","Female","2011","Galway","Austria",25
"235","Both sexes","2011","Galway City","Austria",17
"236","Male","2011","Galway City","Austria",7
"237","Female","2011","Galway City","Austria",10
"238","Both sexes","2011","Galway County","Austria",23
"239","Male","2011","Galway County","Austria",8
"240","Female","2011","Galway County","Austria",15
"241","Both sexes","2011","Leitrim","Austria",5
"242","Male","2011","Leitrim","Austria",NA
"243","Female","2011","Leitrim","Austria",5
"244","Both sexes","2011","Mayo","Austria",9
"245","Male","2011","Mayo","Austria",4
"246","Female","2011","Mayo","Austria",5
"247","Both sexes","2011","Roscommon","Austria",6
"248","Male","2011","Roscommon","Austria",2
"249","Female","2011","Roscommon","Austria",4
"250","Both sexes","2011","Sligo","Austria",4
"251","Male","2011","Sligo","Austria",NA
"252","Female","2011","Sligo","Austria",4
"253","Both sexes","2011","Ulster (part of)","Austria",22
"254","Male","2011","Ulster (part of)","Austria",11
"255","Female","2011","Ulster (part of)","Austria",11
"256","Both sexes","2011","Cavan","Austria",5
"257","Male","2011","Cavan","Austria",4
"258","Female","2011","Cavan","Austria",1
"259","Both sexes","2011","Donegal","Austria",12
"260","Male","2011","Donegal","Austria",7
"261","Female","2011","Donegal","Austria",5
"262","Both sexes","2011","Monaghan","Austria",5
"263","Male","2011","Monaghan","Austria",NA
"264","Female","2011","Monaghan","Austria",5
"265","Both sexes","2011","State","Australia",5964
"266","Male","2011","State","Australia",2978
"267","Female","2011","State","Australia",2986
"268","Both sexes","2011","Leinster","Australia",3622
"269","Male","2011","Leinster","Australia",1853
"270","Female","2011","Leinster","Australia",1769
"271","Both sexes","2011","Carlow","Australia",56
"272","Male","2011","Carlow","Australia",32
"273","Female","2011","Carlow","Australia",24
"274","Both sexes","2011","Dublin","Australia",2081
"275","Male","2011","Dublin","Australia",1069
"276","Female","2011","Dublin","Australia",1012
"277","Both sexes","2011","Dublin City","Australia",1008
"278","Male","2011","Dublin City","Australia",489
"279","Female","2011","Dublin City","Australia",519
"280","Both sexes","2011","Dún Laoghaire-Rathdown","Australia",459
"281","Male","2011","Dún Laoghaire-Rathdown","Australia",234
"282","Female","2011","Dún Laoghaire-Rathdown","Australia",225
"283","Both sexes","2011","Fingal","Australia",354
"284","Male","2011","Fingal","Australia",198
"285","Female","2011","Fingal","Australia",156
"286","Both sexes","2011","South Dublin","Australia",260
"287","Male","2011","South Dublin","Australia",148
"288","Female","2011","South Dublin","Australia",112
"289","Both sexes","2011","Kildare","Australia",304
"290","Male","2011","Kildare","Australia",148
"291","Female","2011","Kildare","Australia",156
"292","Both sexes","2011","Kilkenny","Australia",162
"293","Male","2011","Kilkenny","Australia",85
"294","Female","2011","Kilkenny","Australia",77
"295","Both sexes","2011","Laois","Australia",72
"296","Male","2011","Laois","Australia",27
"297","Female","2011","Laois","Australia",45
"298","Both sexes","2011","Longford","Australia",23
"299","Male","2011","Longford","Australia",14
"300","Female","2011","Longford","Australia",9
"301","Both sexes","2011","Louth","Australia",111
"302","Male","2011","Louth","Australia",56
"303","Female","2011","Louth","Australia",55
"304","Both sexes","2011","Meath","Australia",224
"305","Male","2011","Meath","Australia",117
"306","Female","2011","Meath","Australia",107
"307","Both sexes","2011","Offaly","Australia",72
"308","Male","2011","Offaly","Australia",33
"309","Female","2011","Offaly","Australia",39
"310","Both sexes","2011","Westmeath","Australia",111
"311","Male","2011","Westmeath","Australia",58
"312","Female","2011","Westmeath","Australia",53
"313","Both sexes","2011","Wexford","Australia",168
"314","Male","2011","Wexford","Australia",90
"315","Female","2011","Wexford","Australia",78
"316","Both sexes","2011","Wicklow","Australia",238
"317","Male","2011","Wicklow","Australia",124
"318","Female","2011","Wicklow","Australia",114
"319","Both sexes","2011","Munster","Australia",1514
"320","Male","2011","Munster","Australia",741
"321","Female","2011","Munster","Australia",773
"322","Both sexes","2011","Clare","Australia",175
"323","Male","2011","Clare","Australia",89
"324","Female","2011","Clare","Australia",86
"325","Both sexes","2011","Cork","Australia",646
"326","Male","2011","Cork","Australia",298
"327","Female","2011","Cork","Australia",348
"328","Both sexes","2011","Cork City","Australia",141
"329","Male","2011","Cork City","Australia",64
"330","Female","2011","Cork City","Australia",77
"331","Both sexes","2011","Cork County","Australia",505
"332","Male","2011","Cork County","Australia",234
"333","Female","2011","Cork County","Australia",271
"334","Both sexes","2011","Kerry","Australia",172
"335","Male","2011","Kerry","Australia",84
"336","Female","2011","Kerry","Australia",88
"337","Both sexes","2011","Limerick","Australia",212
"338","Male","2011","Limerick","Australia",109
"339","Female","2011","Limerick","Australia",103
"340","Both sexes","2011","Limerick City","Australia",41
"341","Male","2011","Limerick City","Australia",22
"342","Female","2011","Limerick City","Australia",19
"343","Both sexes","2011","Limerick County","Australia",171
"344","Male","2011","Limerick County","Australia",87
"345","Female","2011","Limerick County","Australia",84
"346","Both sexes","2011","North Tipperary","Australia",98
"347","Male","2011","North Tipperary","Australia",46
"348","Female","2011","North Tipperary","Australia",52
"349","Both sexes","2011","South Tipperary","Australia",98
"350","Male","2011","South Tipperary","Australia",47
"351","Female","2011","South Tipperary","Australia",51
"352","Both sexes","2011","Waterford","Australia",113
"353","Male","2011","Waterford","Australia",68
"354","Female","2011","Waterford","Australia",45
"355","Both sexes","2011","Waterford City","Australia",25
"356","Male","2011","Waterford City","Australia",17
"357","Female","2011","Waterford City","Australia",8
"358","Both sexes","2011","Waterford County","Australia",88
"359","Male","2011","Waterford County","Australia",51
"360","Female","2011","Waterford County","Australia",37
"361","Both sexes","2011","Connacht","Australia",596
"362","Male","2011","Connacht","Australia",281
"363","Female","2011","Connacht","Australia",315
"364","Both sexes","2011","Galway","Australia",372
"365","Male","2011","Galway","Australia",170
"366","Female","2011","Galway","Australia",202
"367","Both sexes","2011","Galway City","Australia",146
"368","Male","2011","Galway City","Australia",74
"369","Female","2011","Galway City","Australia",72
"370","Both sexes","2011","Galway County","Australia",226
"371","Male","2011","Galway County","Australia",96
"372","Female","2011","Galway County","Australia",130
"373","Both sexes","2011","Leitrim","Australia",17
"374","Male","2011","Leitrim","Australia",7
"375","Female","2011","Leitrim","Australia",10
"376","Both sexes","2011","Mayo","Australia",97
"377","Male","2011","Mayo","Australia",52
"378","Female","2011","Mayo","Australia",45
"379","Both sexes","2011","Roscommon","Australia",47
"380","Male","2011","Roscommon","Australia",20
"381","Female","2011","Roscommon","Australia",27
"382","Both sexes","2011","Sligo","Australia",63
"383","Male","2011","Sligo","Australia",32
"384","Female","2011","Sligo","Australia",31
"385","Both sexes","2011","Ulster (part of)","Australia",232
"386","Male","2011","Ulster (part of)","Australia",103
"387","Female","2011","Ulster (part of)","Australia",129
"388","Both sexes","2011","Cavan","Australia",54
"389","Male","2011","Cavan","Australia",22
"390","Female","2011","Cavan","Australia",32
"391","Both sexes","2011","Donegal","Australia",139
"392","Male","2011","Donegal","Australia",62
"393","Female","2011","Donegal","Australia",77
"394","Both sexes","2011","Monaghan","Australia",39
"395","Male","2011","Monaghan","Australia",19
"396","Female","2011","Monaghan","Australia",20
"397","Both sexes","2011","State","Bangladesh",2920
"398","Male","2011","State","Bangladesh",1856
"399","Female","2011","State","Bangladesh",1064
"400","Both sexes","2011","Leinster","Bangladesh",1481
"401","Male","2011","Leinster","Bangladesh",951
"402","Female","2011","Leinster","Bangladesh",530
"403","Both sexes","2011","Carlow","Bangladesh",93
"404","Male","2011","Carlow","Bangladesh",45
"405","Female","2011","Carlow","Bangladesh",48
"406","Both sexes","2011","Dublin","Bangladesh",991
"407","Male","2011","Dublin","Bangladesh",669
"408","Female","2011","Dublin","Bangladesh",322
"409","Both sexes","2011","Dublin City","Bangladesh",511
"410","Male","2011","Dublin City","Bangladesh",377
"411","Female","2011","Dublin City","Bangladesh",134
"412","Both sexes","2011","Dún Laoghaire-Rathdown","Bangladesh",41
"413","Male","2011","Dún Laoghaire-Rathdown","Bangladesh",22
"414","Female","2011","Dún Laoghaire-Rathdown","Bangladesh",19
"415","Both sexes","2011","Fingal","Bangladesh",141
"416","Male","2011","Fingal","Bangladesh",95
"417","Female","2011","Fingal","Bangladesh",46
"418","Both sexes","2011","South Dublin","Bangladesh",298
"419","Male","2011","South Dublin","Bangladesh",175
"420","Female","2011","South Dublin","Bangladesh",123
"421","Both sexes","2011","Kildare","Bangladesh",129
"422","Male","2011","Kildare","Bangladesh",75
"423","Female","2011","Kildare","Bangladesh",54
"424","Both sexes","2011","Kilkenny","Bangladesh",94
"425","Male","2011","Kilkenny","Bangladesh",59
"426","Female","2011","Kilkenny","Bangladesh",35
"427","Both sexes","2011","Laois","Bangladesh",23
"428","Male","2011","Laois","Bangladesh",14
"429","Female","2011","Laois","Bangladesh",9
"430","Both sexes","2011","Longford","Bangladesh",4
"431","Male","2011","Longford","Bangladesh",3
"432","Female","2011","Longford","Bangladesh",1
"433","Both sexes","2011","Louth","Bangladesh",25
"434","Male","2011","Louth","Bangladesh",16
"435","Female","2011","Louth","Bangladesh",9
"436","Both sexes","2011","Meath","Bangladesh",42
"437","Male","2011","Meath","Bangladesh",28
"438","Female","2011","Meath","Bangladesh",14
"439","Both sexes","2011","Offaly","Bangladesh",34
"440","Male","2011","Offaly","Bangladesh",17
"441","Female","2011","Offaly","Bangladesh",17
"442","Both sexes","2011","Westmeath","Bangladesh",10
"443","Male","2011","Westmeath","Bangladesh",6
"444","Female","2011","Westmeath","Bangladesh",4
"445","Both sexes","2011","Wexford","Bangladesh",28
"446","Male","2011","Wexford","Bangladesh",14
"447","Female","2011","Wexford","Bangladesh",14
"448","Both sexes","2011","Wicklow","Bangladesh",8
"449","Male","2011","Wicklow","Bangladesh",5
"450","Female","2011","Wicklow","Bangladesh",3
"451","Both sexes","2011","Munster","Bangladesh",1012
"452","Male","2011","Munster","Bangladesh",636
"453","Female","2011","Munster","Bangladesh",376
"454","Both sexes","2011","Clare","Bangladesh",77
"455","Male","2011","Clare","Bangladesh",48
"456","Female","2011","Clare","Bangladesh",29
"457","Both sexes","2011","Cork","Bangladesh",325
"458","Male","2011","Cork","Bangladesh",226
"459","Female","2011","Cork","Bangladesh",99
"460","Both sexes","2011","Cork City","Bangladesh",208
"461","Male","2011","Cork City","Bangladesh",155
"462","Female","2011","Cork City","Bangladesh",53
"463","Both sexes","2011","Cork County","Bangladesh",117
"464","Male","2011","Cork County","Bangladesh",71
"465","Female","2011","Cork County","Bangladesh",46
"466","Both sexes","2011","Kerry","Bangladesh",355
"467","Male","2011","Kerry","Bangladesh",193
"468","Female","2011","Kerry","Bangladesh",162
"469","Both sexes","2011","Limerick","Bangladesh",163
"470","Male","2011","Limerick","Bangladesh",112
"471","Female","2011","Limerick","Bangladesh",51
"472","Both sexes","2011","Limerick City","Bangladesh",90
"473","Male","2011","Limerick City","Bangladesh",74
"474","Female","2011","Limerick City","Bangladesh",16
"475","Both sexes","2011","Limerick County","Bangladesh",73
"476","Male","2011","Limerick County","Bangladesh",38
"477","Female","2011","Limerick County","Bangladesh",35
"478","Both sexes","2011","North Tipperary","Bangladesh",24
"479","Male","2011","North Tipperary","Bangladesh",15
"480","Female","2011","North Tipperary","Bangladesh",9
"481","Both sexes","2011","South Tipperary","Bangladesh",15
"482","Male","2011","South Tipperary","Bangladesh",8
"483","Female","2011","South Tipperary","Bangladesh",7
"484","Both sexes","2011","Waterford","Bangladesh",53
"485","Male","2011","Waterford","Bangladesh",34
"486","Female","2011","Waterford","Bangladesh",19
"487","Both sexes","2011","Waterford City","Bangladesh",48
"488","Male","2011","Waterford City","Bangladesh",30
"489","Female","2011","Waterford City","Bangladesh",18
"490","Both sexes","2011","Waterford County","Bangladesh",5
"491","Male","2011","Waterford County","Bangladesh",4
"492","Female","2011","Waterford County","Bangladesh",1
"493","Both sexes","2011","Connacht","Bangladesh",376
"494","Male","2011","Connacht","Bangladesh",239
"495","Female","2011","Connacht","Bangladesh",137
"496","Both sexes","2011","Galway","Bangladesh",244
"497","Male","2011","Galway","Bangladesh",162
"498","Female","2011","Galway","Bangladesh",82
"499","Both sexes","2011","Galway City","Bangladesh",136
"500","Male","2011","Galway City","Bangladesh",97
"501","Female","2011","Galway City","Bangladesh",39
"502","Both sexes","2011","Galway County","Bangladesh",108
"503","Male","2011","Galway County","Bangladesh",65
"504","Female","2011","Galway County","Bangladesh",43
"505","Both sexes","2011","Leitrim","Bangladesh",21
"506","Male","2011","Leitrim","Bangladesh",10
"507","Female","2011","Leitrim","Bangladesh",11
"508","Both sexes","2011","Mayo","Bangladesh",77
"509","Male","2011","Mayo","Bangladesh",43
"510","Female","2011","Mayo","Bangladesh",34
"511","Both sexes","2011","Roscommon","Bangladesh",6
"512","Male","2011","Roscommon","Bangladesh",4
"513","Female","2011","Roscommon","Bangladesh",2
"514","Both sexes","2011","Sligo","Bangladesh",28
"515","Male","2011","Sligo","Bangladesh",20
"516","Female","2011","Sligo","Bangladesh",8
"517","Both sexes","2011","Ulster (part of)","Bangladesh",51
"518","Male","2011","Ulster (part of)","Bangladesh",30
"519","Female","2011","Ulster (part of)","Bangladesh",21
"520","Both sexes","2011","Cavan","Bangladesh",9
"521","Male","2011","Cavan","Bangladesh",6
"522","Female","2011","Cavan","Bangladesh",3
"523","Both sexes","2011","Donegal","Bangladesh",22
"524","Male","2011","Donegal","Bangladesh",13
"525","Female","2011","Donegal","Bangladesh",9
"526","Both sexes","2011","Monaghan","Bangladesh",20
"527","Male","2011","Monaghan","Bangladesh",11
"528","Female","2011","Monaghan","Bangladesh",9
"529","Both sexes","2011","State","Belgium",1479
"530","Male","2011","State","Belgium",761
"531","Female","2011","State","Belgium",718
"532","Both sexes","2011","Leinster","Belgium",923
"533","Male","2011","Leinster","Belgium",478
"534","Female","2011","Leinster","Belgium",445
"535","Both sexes","2011","Carlow","Belgium",13
"536","Male","2011","Carlow","Belgium",7
"537","Female","2011","Carlow","Belgium",6
"538","Both sexes","2011","Dublin","Belgium",628
"539","Male","2011","Dublin","Belgium",325
"540","Female","2011","Dublin","Belgium",303
"541","Both sexes","2011","Dublin City","Belgium",283
"542","Male","2011","Dublin City","Belgium",155
"543","Female","2011","Dublin City","Belgium",128
"544","Both sexes","2011","Dún Laoghaire-Rathdown","Belgium",167
"545","Male","2011","Dún Laoghaire-Rathdown","Belgium",81
"546","Female","2011","Dún Laoghaire-Rathdown","Belgium",86
"547","Both sexes","2011","Fingal","Belgium",133
"548","Male","2011","Fingal","Belgium",66
"549","Female","2011","Fingal","Belgium",67
"550","Both sexes","2011","South Dublin","Belgium",45
"551","Male","2011","South Dublin","Belgium",23
"552","Female","2011","South Dublin","Belgium",22
"553","Both sexes","2011","Kildare","Belgium",73
"554","Male","2011","Kildare","Belgium",43
"555","Female","2011","Kildare","Belgium",30
"556","Both sexes","2011","Kilkenny","Belgium",13
"557","Male","2011","Kilkenny","Belgium",10
"558","Female","2011","Kilkenny","Belgium",3
"559","Both sexes","2011","Laois","Belgium",22
"560","Male","2011","Laois","Belgium",7
"561","Female","2011","Laois","Belgium",15
"562","Both sexes","2011","Longford","Belgium",5
"563","Male","2011","Longford","Belgium",3
"564","Female","2011","Longford","Belgium",2
"565","Both sexes","2011","Louth","Belgium",16
"566","Male","2011","Louth","Belgium",7
"567","Female","2011","Louth","Belgium",9
"568","Both sexes","2011","Meath","Belgium",55
"569","Male","2011","Meath","Belgium",26
"570","Female","2011","Meath","Belgium",29
"571","Both sexes","2011","Offaly","Belgium",8
"572","Male","2011","Offaly","Belgium",3
"573","Female","2011","Offaly","Belgium",5
"574","Both sexes","2011","Westmeath","Belgium",24
"575","Male","2011","Westmeath","Belgium",12
"576","Female","2011","Westmeath","Belgium",12
"577","Both sexes","2011","Wexford","Belgium",24
"578","Male","2011","Wexford","Belgium",15
"579","Female","2011","Wexford","Belgium",9
"580","Both sexes","2011","Wicklow","Belgium",42
"581","Male","2011","Wicklow","Belgium",20
"582","Female","2011","Wicklow","Belgium",22
"583","Both sexes","2011","Munster","Belgium",382
"584","Male","2011","Munster","Belgium",191
"585","Female","2011","Munster","Belgium",191
"586","Both sexes","2011","Clare","Belgium",45
"587","Male","2011","Clare","Belgium",20
"588","Female","2011","Clare","Belgium",25
"589","Both sexes","2011","Cork","Belgium",209
"590","Male","2011","Cork","Belgium",106
"591","Female","2011","Cork","Belgium",103
"592","Both sexes","2011","Cork City","Belgium",54
"593","Male","2011","Cork City","Belgium",28
"594","Female","2011","Cork City","Belgium",26
"595","Both sexes","2011","Cork County","Belgium",155
"596","Male","2011","Cork County","Belgium",78
"597","Female","2011","Cork County","Belgium",77
"598","Both sexes","2011","Kerry","Belgium",50
"599","Male","2011","Kerry","Belgium",26
"600","Female","2011","Kerry","Belgium",24
"601","Both sexes","2011","Limerick","Belgium",25
"602","Male","2011","Limerick","Belgium",12
"603","Female","2011","Limerick","Belgium",13
"604","Both sexes","2011","Limerick City","Belgium",4
"605","Male","2011","Limerick City","Belgium",2
"606","Female","2011","Limerick City","Belgium",2
"607","Both sexes","2011","Limerick County","Belgium",21
"608","Male","2011","Limerick County","Belgium",10
"609","Female","2011","Limerick County","Belgium",11
"610","Both sexes","2011","North Tipperary","Belgium",21
"611","Male","2011","North Tipperary","Belgium",11
"612","Female","2011","North Tipperary","Belgium",10
"613","Both sexes","2011","South Tipperary","Belgium",17
"614","Male","2011","South Tipperary","Belgium",9
"615","Female","2011","South Tipperary","Belgium",8
"616","Both sexes","2011","Waterford","Belgium",15
"617","Male","2011","Waterford","Belgium",7
"618","Female","2011","Waterford","Belgium",8
"619","Both sexes","2011","Waterford City","Belgium",9
