"","Age.at.which.Full.Time.Education.Ceased","Sex","CensusYear","Province.County.or.City","Highest.Level.of.Education.Completed","value"
"52","Total whose full-time education has not ceased","Female","2011","State","Total education ceased and not ceased",307145
"53","Full-time education not ceased - Total at school, university, etc.","Female","2011","State","Total education ceased and not ceased",207635
"54","Full-time education not ceased - Other","Female","2011","State","Total education ceased and not ceased",99510
"55","Total persons","Both sexes","2011","Leinster","Total education ceased and not ceased",1968928
"56","Total whose full-time education has ceased","Both sexes","2011","Leinster","Total education ceased and not ceased",1628171
"57","Under 15 years","Both sexes","2011","Leinster","Total education ceased and not ceased",125796
"58","15 years","Both sexes","2011","Leinster","Total education ceased and not ceased",79659
"59","16 years","Both sexes","2011","Leinster","Total education ceased and not ceased",137502
"60","17 years","Both sexes","2011","Leinster","Total education ceased and not ceased",136542
"61","18 years","Both sexes","2011","Leinster","Total education ceased and not ceased",198075
"62","19 years","Both sexes","2011","Leinster","Total education ceased and not ceased",67537
"63","20 years","Both sexes","2011","Leinster","Total education ceased and not ceased",61133
"64","21 years","Both sexes","2011","Leinster","Total education ceased and not ceased",85109
"65","22 years","Both sexes","2011","Leinster","Total education ceased and not ceased",79350
"66","23 years","Both sexes","2011","Leinster","Total education ceased and not ceased",54464
"67","24 years","Both sexes","2011","Leinster","Total education ceased and not ceased",39446
"68","25 years and over","Both sexes","2011","Leinster","Total education ceased and not ceased",112488
"69","Not stated","Both sexes","2011","Leinster","Total education ceased and not ceased",451070
"70","Total whose full-time education has not ceased","Both sexes","2011","Leinster","Total education ceased and not ceased",340757
"71","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Leinster","Total education ceased and not ceased",223389
"72","Full-time education not ceased - Other","Both sexes","2011","Leinster","Total education ceased and not ceased",117368
"73","Total persons","Male","2011","Leinster","Total education ceased and not ceased",959139
"74","Total whose full-time education has ceased","Male","2011","Leinster","Total education ceased and not ceased",791014
"75","Under 15 years","Male","2011","Leinster","Total education ceased and not ceased",64081
"76","15 years","Male","2011","Leinster","Total education ceased and not ceased",43870
"77","16 years","Male","2011","Leinster","Total education ceased and not ceased",74880
"78","17 years","Male","2011","Leinster","Total education ceased and not ceased",63509
"79","18 years","Male","2011","Leinster","Total education ceased and not ceased",93247
"80","19 years","Male","2011","Leinster","Total education ceased and not ceased",28698
"81","20 years","Male","2011","Leinster","Total education ceased and not ceased",28213
"82","21 years","Male","2011","Leinster","Total education ceased and not ceased",39280
"83","22 years","Male","2011","Leinster","Total education ceased and not ceased",38024
"84","23 years","Male","2011","Leinster","Total education ceased and not ceased",26522
"85","24 years","Male","2011","Leinster","Total education ceased and not ceased",19757
"86","25 years and over","Male","2011","Leinster","Total education ceased and not ceased",54377
"87","Not stated","Male","2011","Leinster","Total education ceased and not ceased",216556
"88","Total whose full-time education has not ceased","Male","2011","Leinster","Total education ceased and not ceased",168125
"89","Full-time education not ceased - Total at school, university, etc.","Male","2011","Leinster","Total education ceased and not ceased",110391
"90","Full-time education not ceased - Other","Male","2011","Leinster","Total education ceased and not ceased",57734
"91","Total persons","Female","2011","Leinster","Total education ceased and not ceased",1009789
"92","Total whose full-time education has ceased","Female","2011","Leinster","Total education ceased and not ceased",837157
"93","Under 15 years","Female","2011","Leinster","Total education ceased and not ceased",61715
"94","15 years","Female","2011","Leinster","Total education ceased and not ceased",35789
"95","16 years","Female","2011","Leinster","Total education ceased and not ceased",62622
"96","17 years","Female","2011","Leinster","Total education ceased and not ceased",73033
"97","18 years","Female","2011","Leinster","Total education ceased and not ceased",104828
"98","19 years","Female","2011","Leinster","Total education ceased and not ceased",38839
"99","20 years","Female","2011","Leinster","Total education ceased and not ceased",32920
"100","21 years","Female","2011","Leinster","Total education ceased and not ceased",45829
"101","22 years","Female","2011","Leinster","Total education ceased and not ceased",41326
"102","23 years","Female","2011","Leinster","Total education ceased and not ceased",27942
"103","24 years","Female","2011","Leinster","Total education ceased and not ceased",19689
"104","25 years and over","Female","2011","Leinster","Total education ceased and not ceased",58111
"105","Not stated","Female","2011","Leinster","Total education ceased and not ceased",234514
"106","Total whose full-time education has not ceased","Female","2011","Leinster","Total education ceased and not ceased",172632
"107","Full-time education not ceased - Total at school, university, etc.","Female","2011","Leinster","Total education ceased and not ceased",112998
"108","Full-time education not ceased - Other","Female","2011","Leinster","Total education ceased and not ceased",59634
"109","Total persons","Both sexes","2011","Carlow","Total education ceased and not ceased",42463
"110","Total whose full-time education has ceased","Both sexes","2011","Carlow","Total education ceased and not ceased",35230
"111","Under 15 years","Both sexes","2011","Carlow","Total education ceased and not ceased",2642
"112","15 years","Both sexes","2011","Carlow","Total education ceased and not ceased",1676
"113","16 years","Both sexes","2011","Carlow","Total education ceased and not ceased",3146
"114","17 years","Both sexes","2011","Carlow","Total education ceased and not ceased",2740
"115","18 years","Both sexes","2011","Carlow","Total education ceased and not ceased",4192
"116","19 years","Both sexes","2011","Carlow","Total education ceased and not ceased",1649
"117","20 years","Both sexes","2011","Carlow","Total education ceased and not ceased",1379
"118","21 years","Both sexes","2011","Carlow","Total education ceased and not ceased",1489
"119","22 years","Both sexes","2011","Carlow","Total education ceased and not ceased",1278
"120","23 years","Both sexes","2011","Carlow","Total education ceased and not ceased",820
"121","24 years","Both sexes","2011","Carlow","Total education ceased and not ceased",568
"122","25 years and over","Both sexes","2011","Carlow","Total education ceased and not ceased",1709
"123","Not stated","Both sexes","2011","Carlow","Total education ceased and not ceased",11942
"124","Total whose full-time education has not ceased","Both sexes","2011","Carlow","Total education ceased and not ceased",7233
"125","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Carlow","Total education ceased and not ceased",4866
"126","Full-time education not ceased - Other","Both sexes","2011","Carlow","Total education ceased and not ceased",2367
"127","Total persons","Male","2011","Carlow","Total education ceased and not ceased",21209
"128","Total whose full-time education has ceased","Male","2011","Carlow","Total education ceased and not ceased",17623
"129","Under 15 years","Male","2011","Carlow","Total education ceased and not ceased",1581
"130","15 years","Male","2011","Carlow","Total education ceased and not ceased",985
"131","16 years","Male","2011","Carlow","Total education ceased and not ceased",1804
"132","17 years","Male","2011","Carlow","Total education ceased and not ceased",1355
"133","18 years","Male","2011","Carlow","Total education ceased and not ceased",1984
"134","19 years","Male","2011","Carlow","Total education ceased and not ceased",720
"135","20 years","Male","2011","Carlow","Total education ceased and not ceased",688
"136","21 years","Male","2011","Carlow","Total education ceased and not ceased",675
"137","22 years","Male","2011","Carlow","Total education ceased and not ceased",585
"138","23 years","Male","2011","Carlow","Total education ceased and not ceased",386
"139","24 years","Male","2011","Carlow","Total education ceased and not ceased",287
"140","25 years and over","Male","2011","Carlow","Total education ceased and not ceased",732
"141","Not stated","Male","2011","Carlow","Total education ceased and not ceased",5841
"142","Total whose full-time education has not ceased","Male","2011","Carlow","Total education ceased and not ceased",3586
"143","Full-time education not ceased - Total at school, university, etc.","Male","2011","Carlow","Total education ceased and not ceased",2440
"144","Full-time education not ceased - Other","Male","2011","Carlow","Total education ceased and not ceased",1146
"145","Total persons","Female","2011","Carlow","Total education ceased and not ceased",21254
"146","Total whose full-time education has ceased","Female","2011","Carlow","Total education ceased and not ceased",17607
"147","Under 15 years","Female","2011","Carlow","Total education ceased and not ceased",1061
"148","15 years","Female","2011","Carlow","Total education ceased and not ceased",691
"149","16 years","Female","2011","Carlow","Total education ceased and not ceased",1342
"150","17 years","Female","2011","Carlow","Total education ceased and not ceased",1385
"151","18 years","Female","2011","Carlow","Total education ceased and not ceased",2208
"152","19 years","Female","2011","Carlow","Total education ceased and not ceased",929
"153","20 years","Female","2011","Carlow","Total education ceased and not ceased",691
"154","21 years","Female","2011","Carlow","Total education ceased and not ceased",814
"155","22 years","Female","2011","Carlow","Total education ceased and not ceased",693
"156","23 years","Female","2011","Carlow","Total education ceased and not ceased",434
"157","24 years","Female","2011","Carlow","Total education ceased and not ceased",281
"158","25 years and over","Female","2011","Carlow","Total education ceased and not ceased",977
"159","Not stated","Female","2011","Carlow","Total education ceased and not ceased",6101
"160","Total whose full-time education has not ceased","Female","2011","Carlow","Total education ceased and not ceased",3647
"161","Full-time education not ceased - Total at school, university, etc.","Female","2011","Carlow","Total education ceased and not ceased",2426
"162","Full-time education not ceased - Other","Female","2011","Carlow","Total education ceased and not ceased",1221
"163","Total persons","Both sexes","2011","Dublin","Total education ceased and not ceased",1027817
"164","Total whose full-time education has ceased","Both sexes","2011","Dublin","Total education ceased and not ceased",834321
"165","Under 15 years","Both sexes","2011","Dublin","Total education ceased and not ceased",64098
"166","15 years","Both sexes","2011","Dublin","Total education ceased and not ceased",38593
"167","16 years","Both sexes","2011","Dublin","Total education ceased and not ceased",62640
"168","17 years","Both sexes","2011","Dublin","Total education ceased and not ceased",64373
"169","18 years","Both sexes","2011","Dublin","Total education ceased and not ceased",95070
"170","19 years","Both sexes","2011","Dublin","Total education ceased and not ceased",31600
"171","20 years","Both sexes","2011","Dublin","Total education ceased and not ceased",29556
"172","21 years","Both sexes","2011","Dublin","Total education ceased and not ceased",46631
"173","22 years","Both sexes","2011","Dublin","Total education ceased and not ceased",47217
"174","23 years","Both sexes","2011","Dublin","Total education ceased and not ceased",33595
"175","24 years","Both sexes","2011","Dublin","Total education ceased and not ceased",25125
"176","25 years and over","Both sexes","2011","Dublin","Total education ceased and not ceased",70612
"177","Not stated","Both sexes","2011","Dublin","Total education ceased and not ceased",225211
"178","Total whose full-time education has not ceased","Both sexes","2011","Dublin","Total education ceased and not ceased",193496
"179","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Dublin","Total education ceased and not ceased",124927
"180","Full-time education not ceased - Other","Both sexes","2011","Dublin","Total education ceased and not ceased",68569
"181","Total persons","Male","2011","Dublin","Total education ceased and not ceased",494559
"182","Total whose full-time education has ceased","Male","2011","Dublin","Total education ceased and not ceased",398527
"183","Under 15 years","Male","2011","Dublin","Total education ceased and not ceased",29415
"184","15 years","Male","2011","Dublin","Total education ceased and not ceased",20117
"185","16 years","Male","2011","Dublin","Total education ceased and not ceased",32530
"186","17 years","Male","2011","Dublin","Total education ceased and not ceased",28763
"187","18 years","Male","2011","Dublin","Total education ceased and not ceased",44566
"188","19 years","Male","2011","Dublin","Total education ceased and not ceased",13538
"189","20 years","Male","2011","Dublin","Total education ceased and not ceased",13747
"190","21 years","Male","2011","Dublin","Total education ceased and not ceased",21789
"191","22 years","Male","2011","Dublin","Total education ceased and not ceased",22983
"192","23 years","Male","2011","Dublin","Total education ceased and not ceased",16615
"193","24 years","Male","2011","Dublin","Total education ceased and not ceased",12735
"194","25 years and over","Male","2011","Dublin","Total education ceased and not ceased",35291
"195","Not stated","Male","2011","Dublin","Total education ceased and not ceased",106438
"196","Total whose full-time education has not ceased","Male","2011","Dublin","Total education ceased and not ceased",96032
"197","Full-time education not ceased - Total at school, university, etc.","Male","2011","Dublin","Total education ceased and not ceased",62109
"198","Full-time education not ceased - Other","Male","2011","Dublin","Total education ceased and not ceased",33923
"199","Total persons","Female","2011","Dublin","Total education ceased and not ceased",533258
"200","Total whose full-time education has ceased","Female","2011","Dublin","Total education ceased and not ceased",435794
"201","Under 15 years","Female","2011","Dublin","Total education ceased and not ceased",34683
"202","15 years","Female","2011","Dublin","Total education ceased and not ceased",18476
"203","16 years","Female","2011","Dublin","Total education ceased and not ceased",30110
"204","17 years","Female","2011","Dublin","Total education ceased and not ceased",35610
"205","18 years","Female","2011","Dublin","Total education ceased and not ceased",50504
"206","19 years","Female","2011","Dublin","Total education ceased and not ceased",18062
"207","20 years","Female","2011","Dublin","Total education ceased and not ceased",15809
"208","21 years","Female","2011","Dublin","Total education ceased and not ceased",24842
"209","22 years","Female","2011","Dublin","Total education ceased and not ceased",24234
"210","23 years","Female","2011","Dublin","Total education ceased and not ceased",16980
"211","24 years","Female","2011","Dublin","Total education ceased and not ceased",12390
"212","25 years and over","Female","2011","Dublin","Total education ceased and not ceased",35321
"213","Not stated","Female","2011","Dublin","Total education ceased and not ceased",118773
"214","Total whose full-time education has not ceased","Female","2011","Dublin","Total education ceased and not ceased",97464
"215","Full-time education not ceased - Total at school, university, etc.","Female","2011","Dublin","Total education ceased and not ceased",62818
"216","Full-time education not ceased - Other","Female","2011","Dublin","Total education ceased and not ceased",34646
"217","Total persons","Both sexes","2011","Dublin City","Total education ceased and not ceased",447583
"218","Total whose full-time education has ceased","Both sexes","2011","Dublin City","Total education ceased and not ceased",359219
"219","Under 15 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",36650
"220","15 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",18766
"221","16 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",26796
"222","17 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",24211
"223","18 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",34571
"224","19 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",11368
"225","20 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",10670
"226","21 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",18272
"227","22 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",19705
"228","23 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",14827
"229","24 years","Both sexes","2011","Dublin City","Total education ceased and not ceased",11282
"230","25 years and over","Both sexes","2011","Dublin City","Total education ceased and not ceased",32048
"231","Not stated","Both sexes","2011","Dublin City","Total education ceased and not ceased",100053
"232","Total whose full-time education has not ceased","Both sexes","2011","Dublin City","Total education ceased and not ceased",88364
"233","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Dublin City","Total education ceased and not ceased",56377
"234","Full-time education not ceased - Other","Both sexes","2011","Dublin City","Total education ceased and not ceased",31987
"235","Total persons","Male","2011","Dublin City","Total education ceased and not ceased",216353
"236","Total whose full-time education has ceased","Male","2011","Dublin City","Total education ceased and not ceased",172646
"237","Under 15 years","Male","2011","Dublin City","Total education ceased and not ceased",16580
"238","15 years","Male","2011","Dublin City","Total education ceased and not ceased",9683
"239","16 years","Male","2011","Dublin City","Total education ceased and not ceased",14031
"240","17 years","Male","2011","Dublin City","Total education ceased and not ceased",10887
"241","18 years","Male","2011","Dublin City","Total education ceased and not ceased",16433
"242","19 years","Male","2011","Dublin City","Total education ceased and not ceased",5049
"243","20 years","Male","2011","Dublin City","Total education ceased and not ceased",4921
"244","21 years","Male","2011","Dublin City","Total education ceased and not ceased",8472
"245","22 years","Male","2011","Dublin City","Total education ceased and not ceased",9466
"246","23 years","Male","2011","Dublin City","Total education ceased and not ceased",7278
"247","24 years","Male","2011","Dublin City","Total education ceased and not ceased",5547
"248","25 years and over","Male","2011","Dublin City","Total education ceased and not ceased",16015
"249","Not stated","Male","2011","Dublin City","Total education ceased and not ceased",48284
"250","Total whose full-time education has not ceased","Male","2011","Dublin City","Total education ceased and not ceased",43707
"251","Full-time education not ceased - Total at school, university, etc.","Male","2011","Dublin City","Total education ceased and not ceased",27577
"252","Full-time education not ceased - Other","Male","2011","Dublin City","Total education ceased and not ceased",16130
"253","Total persons","Female","2011","Dublin City","Total education ceased and not ceased",231230
"254","Total whose full-time education has ceased","Female","2011","Dublin City","Total education ceased and not ceased",186573
"255","Under 15 years","Female","2011","Dublin City","Total education ceased and not ceased",20070
"256","15 years","Female","2011","Dublin City","Total education ceased and not ceased",9083
"257","16 years","Female","2011","Dublin City","Total education ceased and not ceased",12765
"258","17 years","Female","2011","Dublin City","Total education ceased and not ceased",13324
"259","18 years","Female","2011","Dublin City","Total education ceased and not ceased",18138
"260","19 years","Female","2011","Dublin City","Total education ceased and not ceased",6319
"261","20 years","Female","2011","Dublin City","Total education ceased and not ceased",5749
"262","21 years","Female","2011","Dublin City","Total education ceased and not ceased",9800
"263","22 years","Female","2011","Dublin City","Total education ceased and not ceased",10239
"264","23 years","Female","2011","Dublin City","Total education ceased and not ceased",7549
"265","24 years","Female","2011","Dublin City","Total education ceased and not ceased",5735
"266","25 years and over","Female","2011","Dublin City","Total education ceased and not ceased",16033
"267","Not stated","Female","2011","Dublin City","Total education ceased and not ceased",51769
"268","Total whose full-time education has not ceased","Female","2011","Dublin City","Total education ceased and not ceased",44657
"269","Full-time education not ceased - Total at school, university, etc.","Female","2011","Dublin City","Total education ceased and not ceased",28800
"270","Full-time education not ceased - Other","Female","2011","Dublin City","Total education ceased and not ceased",15857
"271","Total persons","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",168726
"272","Total whose full-time education has ceased","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",136577
"273","Under 15 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",5869
"274","15 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3960
"275","16 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",7944
"276","17 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",9141
"277","18 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",16297
"278","19 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",5289
"279","20 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",5464
"280","21 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",10483
"281","22 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",11011
"282","23 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",7730
"283","24 years","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",5546
"284","25 years and over","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",15122
"285","Not stated","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",32721
"286","Total whose full-time education has not ceased","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",32149
"287","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",24481
"288","Full-time education not ceased - Other","Both sexes","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",7668
"289","Total persons","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",79442
"290","Total whose full-time education has ceased","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",63633
"291","Under 15 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",2650
"292","15 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",1985
"293","16 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3686
"294","17 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3937
"295","18 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",7422
"296","19 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",2125
"297","20 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",2437
"298","21 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",4849
"299","22 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",5410
"300","23 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3957
"301","24 years","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",2972
"302","25 years and over","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",7635
"303","Not stated","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",14568
"304","Total whose full-time education has not ceased","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",15809
"305","Full-time education not ceased - Total at school, university, etc.","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",12173
"306","Full-time education not ceased - Other","Male","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3636
"307","Total persons","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",89284
"308","Total whose full-time education has ceased","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",72944
"309","Under 15 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3219
"310","15 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",1975
"311","16 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",4258
"312","17 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",5204
"313","18 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",8875
"314","19 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3164
"315","20 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3027
"316","21 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",5634
"317","22 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",5601
"318","23 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",3773
"319","24 years","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",2574
"320","25 years and over","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",7487
"321","Not stated","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",18153
"322","Total whose full-time education has not ceased","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",16340
"323","Full-time education not ceased - Total at school, university, etc.","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",12308
"324","Full-time education not ceased - Other","Female","2011","Dún Laoghaire-Rathdown","Total education ceased and not ceased",4032
"325","Total persons","Both sexes","2011","Fingal","Total education ceased and not ceased",207584
"326","Total whose full-time education has ceased","Both sexes","2011","Fingal","Total education ceased and not ceased",169614
"327","Under 15 years","Both sexes","2011","Fingal","Total education ceased and not ceased",7311
"328","15 years","Both sexes","2011","Fingal","Total education ceased and not ceased",6170
"329","16 years","Both sexes","2011","Fingal","Total education ceased and not ceased",11775
"330","17 years","Both sexes","2011","Fingal","Total education ceased and not ceased",14519
"331","18 years","Both sexes","2011","Fingal","Total education ceased and not ceased",21414
"332","19 years","Both sexes","2011","Fingal","Total education ceased and not ceased",7741
"333","20 years","Both sexes","2011","Fingal","Total education ceased and not ceased",6978
"334","21 years","Both sexes","2011","Fingal","Total education ceased and not ceased",9594
"335","22 years","Both sexes","2011","Fingal","Total education ceased and not ceased",8946
"336","23 years","Both sexes","2011","Fingal","Total education ceased and not ceased",6022
"337","24 years","Both sexes","2011","Fingal","Total education ceased and not ceased",4642
"338","25 years and over","Both sexes","2011","Fingal","Total education ceased and not ceased",12748
"339","Not stated","Both sexes","2011","Fingal","Total education ceased and not ceased",51754
"340","Total whose full-time education has not ceased","Both sexes","2011","Fingal","Total education ceased and not ceased",37970
"341","Full-time education not ceased - Total at school, university, etc.","Both sexes","2011","Fingal","Total education ceased and not ceased",21762
"342","Full-time education not ceased - Other","Both sexes","2011","Fingal","Total education ceased and not ceased",16208
"343","Total persons","Male","2011","Fingal","Total education ceased and not ceased",100569
"344","Total whose full-time education has ceased","Male","2011","Fingal","Total education ceased and not ceased",81508
"345","Under 15 years","Male","2011","Fingal","Total education ceased and not ceased",3661
"346","15 years","Male","2011","Fingal","Total education ceased and not ceased",3384
"347","16 years","Male","2011","Fingal","Total education ceased and not ceased",6309
"348","17 years","Male","2011","Fingal","Total education ceased and not ceased",6550
"349","18 years","Male","2011","Fingal","Total education ceased and not ceased",10108
"350","19 years","Male","2011","Fingal","Total education ceased and not ceased",3253
"351","20 years","Male","2011","Fingal","Total education ceased and not ceased",3275
"352","21 years","Male","2011","Fingal","Total education ceased and not ceased",4568
"353","22 years","Male","2011","Fingal","Total education ceased and not ceased",4366
"354","23 years","Male","2011","Fingal","Total education ceased and not ceased",2922
"355","24 years","Male","2011","Fingal","Total education ceased and not ceased",2396
"356","25 years and over","Male","2011","Fingal","Total education ceased and not ceased",6381
"357","Not stated","Male","2011","Fingal","Total education ceased and not ceased",24335
"358","Total whose full-time education has not ceased","Male","2011","Fingal","Total education ceased and not ceased",19061
"359","Full-time education not ceased - Total at school, university, etc.","Male","2011","Fingal","Total education ceased and not ceased",11095
"360","Full-time education not ceased - Other","Male","2011","Fingal","Total education ceased and not ceased",7966
"361","Total persons","Female","2011","Fingal","Total education ceased and not ceased",107015
"362","Total whose full-time education has ceased","Female","2011","Fingal","Total education ceased and not ceased",88106
